"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Seated Row (Machine)",,"",2,"normal",96,10,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Shoulder Press (Machine Plates)",,"",0,"normal",80,10,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Shoulder Press (Machine Plates)",,"",1,"normal",80,7,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Shoulder Press (Machine Plates)",,"",2,"normal",70,7,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Lat Pulldown (Machine)",,"",0,"normal",117,10,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Lat Pulldown (Machine)",,"",1,"normal",117,7,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Butterfly (Pec Deck)",,"",0,"normal",82,8,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Butterfly (Pec Deck)",,"",1,"normal",82,6,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Butterfly (Pec Deck)",,"",2,"normal",75,7,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Lateral Raise (Machine)",,"",0,"normal",39,12,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Lateral Raise (Machine)",,"",1,"normal",39,10,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Squat (Barbell)",,"",0,"normal",75,8,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Squat (Barbell)",,"",1,"normal",75,7,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Squat (Barbell)",,"",2,"normal",70,8,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Romanian Deadlift (Barbell)",,"",0,"normal",100,10,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Romanian Deadlift (Barbell)",,"",1,"normal",100,8,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Crunch (Machine)",,"",0,"normal",45,10,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Crunch (Machine)",,"",1,"normal",45,8,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Standing Calf Raise (Machine)",,"",0,"normal",145,12,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Standing Calf Raise (Machine)",,"",1,"normal",145,12,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Leg Extension (Machine)",,"",0,"normal",117,10,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Leg Extension (Machine)",,"",1,"normal",117,8,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Seated Leg Curl (Machine)",,"",0,"normal",96,8,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Seated Leg Curl (Machine)",,"",1,"normal",96,8,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Pull Up (Weighted)",,"",0,"normal",30,9,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Pull Up (Weighted)",,"",1,"normal",30,7,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Pull Up (Weighted)",,"",2,"normal",20,9,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Iso-Lateral Row (Machine)",,"",0,"normal",130,9,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Iso-Lateral Row (Machine)",,"",1,"normal",130,7,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Iso-Lateral Row (Machine)",,"",2,"normal",120,12,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Shoulder Press (Machine Plates)",,"",0,"normal",80,10,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Shoulder Press (Machine Plates)",,"",1,"normal",80,7,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Shoulder Press (Machine Plates)",,"",2,"normal",70,8,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Preacher Curl (Machine)",,"",0,"normal",81,9,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Preacher Curl (Machine)",,"",1,"normal",74,9,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Preacher Curl (Machine)",,"",2,"normal",74,6,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Lat Pulldown (Cable)",,"",0,"normal",97,7,,,
"Pull","16 Jun 2026, 06:46","16 Jun 2026, 07:54","","Lat Pulldown (Cable)",,"",1,"normal",87,10,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Incline Bench Press (Dumbbell)",,"",0,"normal",60,8,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Incline Bench Press (Dumbbell)",,"",1,"normal",60,6,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Incline Bench Press (Dumbbell)",,"",2,"normal",56,8,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Shoulder Press (Machine Plates)",,"",0,"normal",80,9,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Shoulder Press (Machine Plates)",,"",1,"normal",70,8,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Flat iso-Lateral Press",,"",0,"normal",96,7,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Flat iso-Lateral Press",,"",1,"normal",96,6,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Flat iso-Lateral Press",,"",2,"normal",86,8,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Skullcrusher (Barbell)",,"",0,"normal",35,8,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Skullcrusher (Barbell)",,"",1,"normal",32.5,8,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Lateral Raise (Cable)",,"",0,"normal",7.5,12,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Lateral Raise (Cable)",,"",1,"normal",7.5,12,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Triceps Pushdown",,"",0,"normal",38.5,10,,,
"Push","15 Jun 2026, 15:53","15 Jun 2026, 16:56","","Triceps Pushdown",,"",1,"normal",35,9,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Incline Bench Press (Smith Machine)",,"",0,"normal",70,9,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Incline Bench Press (Smith Machine)",,"",1,"normal",70,6,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Incline Bench Press (Smith Machine)",,"",2,"normal",65,7,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Seated Row (Machine)",,"",0,"normal",103,10,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Seated Row (Machine)",,"",1,"normal",103,8,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Seated Row (Machine)",,"",2,"normal",96,9,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Seated Shoulder Press (Machine)",,"",0,"normal",53,7,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Seated Shoulder Press (Machine)",,"",1,"normal",46,8,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Seated Shoulder Press (Machine)",,"",2,"normal",46,7,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Lat Pulldown (Machine)",,"",0,"normal",117,9,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Lat Pulldown (Machine)",,"",1,"normal",117,7,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Butterfly (Pec Deck)",,"",0,"normal",87,7,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Butterfly (Pec Deck)",,"",1,"normal",82,6,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Butterfly (Pec Deck)",,"",2,"normal",75,8,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Lateral Raise (Machine)",,"",0,"normal",37,12,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Lateral Raise (Machine)",,"",1,"normal",39,10,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",54,12,,,
"Upper","12 Jun 2026, 07:11","12 Jun 2026, 08:27","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",54,12,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Squat (Barbell)",,"",0,"normal",75,8,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Squat (Barbell)",,"",1,"normal",75,7,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Squat (Barbell)",,"",2,"normal",70,7,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Romanian Deadlift (Barbell)",,"",0,"normal",90,10,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Romanian Deadlift (Barbell)",,"",1,"normal",90,10,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Standing Calf Raise (Machine)",,"",0,"normal",145,12,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Standing Calf Raise (Machine)",,"",1,"normal",145,12,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Leg Extension (Machine)",,"",0,"normal",110,12,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Leg Extension (Machine)",,"",1,"normal",110,12,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Crunch (Machine)",,"",0,"normal",45,10,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Crunch (Machine)",,"",1,"normal",45,8,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Hip Adduction (Machine)",0,"Separation: 6",0,"normal",49,12,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Hip Adduction (Machine)",0,"Separation: 6",1,"normal",49,10,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Hip Abduction (Machine)",0,"",0,"normal",56,12,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Hip Abduction (Machine)",0,"",1,"normal",63,12,,,
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Seated Leg Curl (Machine)",,"",0,"normal",96,8,,,
